theta_deg,frequency_hz,rayleigh_frequency_hz,eta_0,eta_m1,eta_p1,eta_total,kn_m1_real,kn_m1_imag,large_groove_probe_abs_pa
7.9,179460,177728.518665915,0.999996990229614,3.00977039173894e-06,4.77316487123525e-32,1.00000000000001,111.062297136296,0,8888.97668056666
7.95,179460,177593.567497499,0.999996896365005,3.103634999094e-06,-1.22665812863854e-31,1,115.327918132942,0,8889.21560051656
8,179460,177458.837521211,0.99999680715046,3.19284954421866e-06,7.01270668285744e-33,1,119.437271069069,0,8889.42347652999
8.05,179460,177324.328299041,0.999996722023475,3.27797652033859e-06,-4.58766746865645e-31,0.999999999999995,123.405966139163,0,8889.60137362013
8.1,179460,177190.039394107,0.999996640508419,3.35949157950715e-06,-2.99962872950613e-31,0.999999999999998,127.247163242839,0,8889.75031263174
8.15,179460,177055.970370652,0.999996562199096,3.43780090868557e-06,3.73256968603703e-32,1,130.972079178752,0,8889.87127018972
8.2,179460,176922.120794035,0.99999648674564,3.51325435317188e-06,4.04531378245802e-31,0.999999999999993,134.590367317577,0,8889.96517942742
6.2,179480,182451.671285486,1.00000000000001,1.15111153350161e-25,3.64816271245507e-31,1.00000000000001,0,-144.665345525035,8859.12402187981
6.25,179480,182308.930689984,0.999999999999995,-5.04950207110112e-26,-4.43553697690735e-31,0.999999999999995,0,-141.173075409357,8861.95331174885
6.3,179480,182166.426874784,1,4.20416264627967e-25,4.32864975407993e-31,1,0,-137.595633152297,8864.58196215983
6.35,179480,182024.15936143,0.999999999999993,-1.62752301046823e-25,-2.7264724933916e-31,0.999999999999993,0,-133.926195483285,8867.02535661636
6.4,179480,181882.127672714,1,5.94732310875786e-25,-3.58309016707633e-31,1,0,-130.156983887322,8869.29721714149
6.45,179480,181740.331332678,1,-3.04215450672328e-25,2.58282511456533e-31,1,0,-126.279066459836,8871.40980438789
6.5,179480,181598.769866607,1,1.42678825403045e-25,3.6789493431041e-31,1,0,-122.282103585475,8873.37408499859
6.55,179480,181457.442801026,0.999999999999995,-4.17362249869756e-25,3.83804305671066e-31,0.999999999999995,0,-118.154016659032,8875.19987069401
6.6,179480,181316.349663693,1.00000000000001,7.68188488890712e-25,7.36334201700037e-32,1.00000000000001,0,-113.880549320348,8876.89593222417
6.65,179480,181175.489983601,0.999999999999994,2.52979164243304e-25,-3.31293836678863e-31,0.999999999999994,0,-109.444675240921,8878.4700899969
6.7,179480,181034.863290971,1,-4.23292375613857e-25,-2.37640270011026e-31,1,0,-104.825781294781,8879.9292816708
6.75,179480,180894.469117247,1,1.24538570751843e-24,5.29487631598815e-31,1,0,-99.9985123060216,8881.27960496856
6.8,179480,180754.306995095,1,-1.09790348026267e-24,-3.46747240719918e-31,1,0,-94.9310884143015,8882.52633086771
6.85,179480,180614.376458396,1,2.66238925407112e-24,9.04017067140942e-32,1,0,-89.5827671185049,8883.67387699102
6.9,179480,180474.677042247,0.999999999999995,1.38065187574135e-24,-1.64968269305607e-31,0.999999999999995,0,-83.8998498226454,8884.72572093026
6.95,179480,180335.20828295,0.999999999999997,2.63499207313338e-24,3.38645867878634e-31,0.999999999999997,0,-77.8090607669964,8885.68421231288
7,179480,180195.969718017,0.999999999999991,-7.66350149910037e-25,-7.35203119976993e-32,0.999999999999991,0,-71.2058147658445,8886.55019469697
7.05,179480,180056.96088616,0.99999999999999,-1.42489061379234e-24,-5.63731130763897e-31,0.99999999999999,0,-63.9315230150582,8887.32222582894
7.1,179480,179918.181327289,1.00000000000002,-5.91447021213556e-24,-1.50306622470681e-31,1.00000000000002,0,-55.7240087230326,8887.9948174172
7.15,179480,179779.630582509,0.999999999999994,-5.62555448588298e-24,-2.45642673201543e-31,0.999999999999994,0,-46.0873634340726,8888.55373655425
7.2,179480,179641.308194116,0.999999999999991,1.28750146055303e-23,2.13095796621024e-31,0.999999999999991,0,-33.8212930744415,8888.95885149792
7.25,179480,179503.213705592,0.999999999999995,9.40517943014251e-25,-4.02354045928947e-31,0.999999999999995,0,-12.8323811541196,8888.9902688795
7.3,179480,179365.346661604,0.999999233994198,7.66005806159644e-07,-4.61615658955555e-31,1,28.5233946893705,0,8889.02078513021
7.35,179480,179227.706607998,0.999998874198834,1.12580116207402e-06,3.87961031003244e-31,0.999999999999996,42.3188117148533,0,8889.60382735779
7.4,179480,179090.293091797,0.999998613090963,1.38690903835287e-06,1.7233090439653e-31,1,52.604399775262,0,8890.16540389098
7.45,179480,178953.105661197,0.999998400798939,1.59920104234252e-06,1.07028608042804e-31,0.999999999999982,61.1768480738997,0,8890.69193082838
7.5,179480,178816.143865561,0.999998219158184,1.78084183329386e-06,2.5409750908128e-31,1.00000000000002,68.6806593196934,0,8891.18001472553
7.55,179480,178679.40725542,0.999998059029997,1.94096999997161e-06,-2.94646788852318e-32,0.999999999999997,75.4354101025847,0,8891.62901702592
7.6,179480,178542.895382466,0.99999791501719,2.08498281177586e-06,2.84551884474173e-31,1,81.6272668279077,0,8892.03934678997
7.65,179480,178406.607799548,0.999997783603378,2.21639661436428e-06,1.59850124508844e-31,0.999999999999992,87.3759766516575,0,8892.4118721471
7.7,179480,178270.544060673,0.999997662339871,2.33766012481865e-06,-1.47153732167703e-31,0.999999999999996,92.7639610623518,0,8892.74767081759
7.75,179480,178134.703720996,0.999997549437195,2.45056279613033e-06,3.84567785834119e-31,0.999999999999991,97.8508241017145,0,8893.04791029182
7.8,179480,177999.086336821,0.999997443539125,2.55646087166907e-06,8.86768070864556e-32,0.999999999999996,102.681326315112,0,8893.31378555526
7.85,179480,177863.691465598,0.999997343588015,2.65641198148036e-06,1.31997237078946e-31,0.999999999999996,107.290097519387,0,8893.54648511251
