kappa,theta_deg,pole_frequency_hz,rayleigh_frequency_hz,linewidth_hz,normalized_detuning,frequency_hz,A0_real,A0_imag,Am1_real,Am1_imag,eta0,etam1,condition_number,energy_error
0.110562446636999,7.13586705531347,180007.002105813,179899.608723704,0.000582306968889987,-1.66666666666667,180007.001620557,-0.129070754230443,-0.86436283605064,-2.38333961151928,0.848728396233462,0.76378237194312,0.23621762871129,4106344290.01547,6.54410081679657e-10
0.110681397380866,7.14352535534619,180008.480312714,179878.38821524,0.000912357296762787,-1.66666666666667,180008.479552416,-0.109633007737982,-0.87167171734651,-2.23635118742976,0.784783681355098,0.77183097920749,0.228169019872856,2620007503.41377,9.19654019604366e-10
0.110825509497077,7.15280365580114,180010.269830077,179852.68600303,0.00143187501677811,-1.66666666666667,180010.268636848,-0.0910076567326626,-0.878682865788259,-2.09509257771444,0.723306657166401,0.780365972213838,0.219634027641691,1668756040.92769,1.44471212770725e-10
0.111000105311808,7.16404465941577,180012.435867615,179821.557361547,0.00225067950860717,-1.66666666666667,180012.433992048,-0.0732437283984317,-0.885379483089206,-1.95988443861005,0.664431568736719,0.789261472825013,0.210738527499955,1061154960.51219,3.24968496556721e-10
0.111050105311808,7.16726382724309,180013.05576212,179812.644952429,0.00252553631775918,-1.66666666666667,180013.053657506,-0.0688691999214142,-0.887030448342717,-1.92650066603297,0.649888956136786,0.791565982984898,0.208434017129385,945540175.50082,1.1428258339663e-10
0.111438068274771,7.19224245196214,180017.859542521,179743.522671484,0.00531739809766236,-1.66666666666667,180017.855111356,-0.0421103976479648,-0.897151616629634,-1.72131795055472,0.560435987870642,0.806654308811236,0.193345691243911,448618519.328188,5.51469980791808e-11
0.111826031237734,7.21722155614922,180022.652445826,179674.455986164,0.0093791081537811,-1.66666666666667,180022.644629903,-0.0234888243227344,-0.904227520035508,-1.57720120194581,0.497502174175571,0.818179132857629,0.18182086717741,254072039.021737,3.50388607017749e-11
0.112213994200697,7.24220114898927,180027.434478016,179605.44481752,0.0148371015020847,-1.66666666666667,180027.422113765,-0.00956751632654473,-0.909544858705258,-1.46842088738713,0.449912815241812,0.827363387365827,0.172636612626346,160439262.313676,7.82651721209504e-12
0.11260195716366,7.26718123965494,180032.205645334,179536.48908679,0.0218009302366212,-1.66666666666667,180032.187477892,0.00133548896607311,-0.913733175586734,-1.38237067967602,0.412193300815933,0.834910099698596,0.165089900306818,109075019.746491,5.41433564649196e-12
0.112989920126623,7.29216183730638,180036.96595428,179467.588715394,0.0303673369087284,-1.66666666666667,180036.940648165,0.0101585280169732,-0.917143618103267,-1.31200977391811,0.381286180676257,0.841255611919023,0.158744388078862,78222830.06993,2.1156409957257e-12
0.113377883089586,7.31714295109116,180041.715411613,179398.743624939,0.0406228565642178,-1.66666666666667,180041.681559233,0.0174737529270759,-0.919990258382758,-1.25304033875686,0.35532525957947,0.84668740756053,0.153312592438776,58412930.5797207,6.93889390390723e-13
0.113765846052549,7.34212459014415,180046.454024351,179329.953737215,0.0526456078160097,-1.66666666666667,180046.410153011,0.0236533439378585,-0.922412322559384,-1.20266370182061,0.333095379960478,0.85140397348884,0.148596026515688,45025222.275784,4.52882176205094e-12
