mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
joint,5,41,-4.61207141676582,4.58949629255378,1.21697343099588,-3.76879435053926,-1.9737859691168,1,1,0.0548800159745147,0.497100597140119,0.0153444603295821,0.189079751659425,0.232090182664963,0.0753463491654904,0,301.369068479323,223.937181529188
joint,5,42,-4.94485393207123,1.89672151368894,2.34176284006024,1.70046575474444,0.74874436306521,1,1,0.0984368067961203,0.782894771016707,0.0305227237969926,0.319177148680149,0.451887182551373,0.0693564003805664,0,540.557582599869,352.68364082452
joint,5,43,-0.955884051111767,1.38280500059145,-3.59273388025306,4.61593573655448,2.90731891869659,1,1,0.167323175916848,0.582417426180229,0.130734498860779,0.647163046044639,0.853637217471447,0.157742093094163,0,918.841380885882,262.371273827943
joint,5,44,2.10507133793601,1.06664509656403,-4.12797656551742,0.879719692266978,0.188799683175529,1,1,0.190045572708425,0.570025793137921,0.150133815380883,0.620356620046882,0.890075564795576,0.198951595673849,0,1043.61954344828,256.789008600335
joint,5,45,2.50450087784585,2.6568238105437,4.50032375833108,3.87954996356823,2.51211320507828,1,1,0.221505367841779,1.0058851684507,0.0935648990995799,0.538728025156193,0.734841395977714,0.0997378230928596,0,1216.37840631545,453.137837413156
joint,5,46,-2.88094571558698,-4.97625242066328,2.92460825206575,2.02078132529614,-4.43556487599823,1,1,0.134220211396296,1.17360137714137,0.037366184466891,0.363204712773618,0.578921699853732,0.00492506658865204,0,737.059189239006,528.691750015605
joint,5,47,1.04242389989056,2.73357449716511,1.55366507935954,-2.30339502907145,1.73586177198851,1,1,0.0997316982953542,0.807524695469528,0.0509453180435684,0.41273712318139,0.410096705705384,0.0543248045103011,0,547.668372164637,363.77909292209
joint,5,48,4.75716973142109,1.34555162788714,-0.970071537322003,0.336808177548394,4.97238421354309,1,1,0.050877632563647,0.494882058922314,0.015657870141189,0.218216278100581,0.246875649392774,0.0305667873995661,0,279.390311024324,222.93775968486
joint,5,49,-1.76732611925113,-0.544630900953356,0.0347126815084686,0.547878642486676,-0.248081128893171,1,1,0.013649964020335,0.146210517103178,0.00733021320713207,0.110572693665267,0.0106546647780101,0.0289350078046598,0,74.957648399646,65.8658856947254
joint,5,50,-0.862155485058783,-4.57472843141689,-0.258970593329059,-4.01573181182495,-1.30678090222692,1,1,0.0207679386328669,0.309634949723451,0.0189891723767658,0.292715858012285,0.0475394456787657,0.00345003152360289,0,114.045417241302,139.48641048294
