kappa,Omega_real,Omega_imag,Q,q_real,q_imag,sigma_ratio,residual,mode_overlap,fixed_order
0.186,0.456222207671828,0.174453934292618,1.30757213794499,0.112825637922084,0.705422637140135,5.17515938383555e-12,7.75431669772197e-12,0.999997371016602,-1
0.184,0.455442965377744,0.174484316637308,1.30511146834031,0.112219865589934,0.70814248585531,5.17295905307416e-12,7.7498292421105e-12,0.999997369150713,-1
0.182,0.454669364630306,0.174515318640585,1.3026631936154,0.111621604368481,0.710854941509653,5.17202233780037e-12,7.74736854242769e-12,0.999997366954076,-1
0.18,0.453901355554009,0.174546945387737,1.30022715248817,0.111030724720283,0.713560100764003,5.17204685588012e-12,7.74610380916403e-12,0.999997364437641,-1
0.178,0.453138888818448,0.17457920331509,1.29780317533183,0.110447100948226,0.716258059485812,5.17335412163e-12,7.74726154247411e-12,0.99999736161184,-1
0.176,0.452381915631484,0.174612100138162,1.29539108479176,0.109870611048647,0.718948912716649,5.17582858826652e-12,7.74995398052475e-12,0.999997358486623,-1
0.174,0.451630387732426,0.17464564478313,1.29299069637049,0.109301136570742,0.721632754643267,5.17963344020848e-12,7.75465701478114e-12,0.999997355071473,-1
0.172,0.450884257385291,0.174679847321439,1.29060181898256,0.108738562481985,0.724309678571952,5.18423880084751e-12,7.76048519390176e-12,0.999997351375441,-1
0.17,0.450143477372216,0.174714718907432,1.28822425548105,0.10818277703932,0.726979776905859,5.18965550426793e-12,7.76761941134916e-12,0.99999734740716,-1
0.168,0.449408000987052,0.174750271718834,1.28585780315732,0.10763367166586,0.7296431411251,5.19651286113968e-12,7.77667391201191e-12,0.999997343174873,-1
0.166,0.448677782029199,0.174786518899972,1.28350225421553,0.107091140832885,0.732299861769356,5.2038104851253e-12,7.78702851533809e-12,0.999997338686453,-1
0.164,0.447952774797718,0.174823474507604,1.28115739622322,0.106555081946891,0.734950028422779,5.21209132420605e-12,7.79832856625399e-12,0.999997333949417,-1
0.162,0.447232934085745,0.174861153459234,1.27882301253951,0.106025395241484,0.737593729701021,5.2212102134899e-12,7.81096873288314e-12,0.999997328970949,-1
