deltaKappa,kappa,Omega,thetaDeg,sigmaRelative,rawResidual
0.00031,0.0841586965529006,0.915841303447099,5.27247487176873,0.00234761822875709,0.0412873030929567
0.000315,0.0841636965529006,0.915836303447099,5.27281787332642,0.00238534459596116,0.0419596742607513
0.00032,0.0841686965529006,0.915831303447099,5.27316087881887,0.00242306659427289,0.0426322238522144
0.000325,0.0841736965529006,0.915826303447099,5.27350388824615,0.00246078422491658,0.0433049505759082
0.00033,0.0841786965529006,0.915821303447099,5.27384690160835,0.00249849748911585,0.0439778531365981
0.000335,0.0841836965529006,0.915816303447099,5.27418991890555,0.0025362063880949,0.0446509302354085
0.00034,0.0841886965529006,0.915811303447099,5.27453294013782,0.00257391092307755,0.0453241805697899
0.000345,0.0841936965529006,0.915806303447099,5.27487596530524,0.0026116110952878,0.0459976028335051
0.00035,0.0841986965529006,0.915801303447099,5.27521899440791,0.00264930690595073,0.0466711957166704
0.000355,0.0842036965529006,0.915796303447099,5.27556202744589,0.002686998356287,0.0473449579057226
0.00036,0.0842086965529006,0.915791303447099,5.27590506441926,0.00272468544752232,0.0480188880834425
0.000365,0.0842136965529006,0.915786303447099,5.27624810532812,0.00276236818088098,0.0486929849290559
0.00037,0.0842186965529006,0.915781303447099,5.27659115017253,0.00280004655758189,0.0493672471179931
0.000375,0.0842236965529006,0.915776303447099,5.27693419895257,0.0028377205788557,0.0500416733222841
0.00038,0.0842286965529006,0.915771303447099,5.27727725166834,0.00287539024592025,0.0507162622101315
0.000385,0.0842336965529006,0.915766303447099,5.2776203083199,0.00291305556000162,0.0513910124462802
0.00039,0.0842386965529006,0.915761303447099,5.27796336890734,0.00295071652232113,0.0520659226917399
0.000395,0.0842436965529006,0.915756303447099,5.27830643343074,0.00298837313410209,0.052740991604113
0.0004,0.0842486965529006,0.915751303447099,5.27864950189018,0.00302602539656918,0.0534162178372999
